X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
672219.0642,4860891.8464,1461,667,Simcoe Southbound @ Bloor,,1,1, , , ,-78.856236,43.8810192,667,Scheduled
672238.2444,4860900.8666,1462,668,Simcoe Northbound @ Bloor,,1,1, , , ,-78.855995,43.8810958,668,Scheduled
672126.2744,4861213.4,1463,669,Simcoe Northbound @ First,,1,1, , , ,-78.857287,43.883934,669,Scheduled
666136.5693,4858157.5042,1464,67,Brock Street Southbound @ Front,,1,0, , , ,-78.932752,43.857811,67,On Demand
672052.8536,4861419.112,1465,670,Simcoe Northbound @ Albany,,1,0, , , ,-78.858134,43.885802,670,Scheduled
671959.6369,4861684.7735,1466,671,Simcoe Northbound @ Royal,,1,1, , , ,-78.859208,43.888214,671,Scheduled
671874.292,4861922.9652,1467,672,Simcoe Northbound @ Elm St,,1,0, , , ,-78.860193,43.890377,672,Scheduled
671729.864,4862326.232,1468,674,Simcoe Northbound @ John,,1,1, , , ,-78.86186,43.894039,674,Scheduled
671533.955,4862846.8707,1469,677,Simcoe Northbound @ Bond,,1,1, , , ,-78.86413,43.898769,677,Scheduled
671451.9819,4863080.0325,1470,678,Simcoe Northbound @ Colborne,,1,0, , , ,-78.865075,43.9008859,678,Scheduled
671359.5989,4863346.1757,1471,679,Simcoe Northbound @ Adelaide,,1,0, , , ,-78.866139,43.903302,679,Scheduled
666590.9138,4857568.0718,1472,68,Water Southbound @ Brock Street,,1,0, , , ,-78.927286,43.852405,68,On Demand
671271.3412,4863620.8644,1473,680,Simcoe Northbound @ Parkwood (Lakeridge Health Oshawa),,1,1, , , ,-78.867149,43.905794,680,Scheduled
671077.3577,4864172.239,1474,682,Simcoe Northbound @ Hillcroft,,1,0, , , ,-78.869386,43.9108,682,Scheduled
670702.2074,4865317.2326,1475,685,Simcoe Northbound @ Switzer,,1,0, , , ,-78.873688,43.921189,685,Scheduled
670525.7038,4865826.3913,1476,687,Simcoe Northbound @ Beatrice,,1,1, , , ,-78.875722,43.925811,687,Scheduled
670389.1425,4866198.2079,1477,689,Simcoe Northbound @ Orchard View,,1,1, , , ,-78.877303,43.929188,689,Scheduled
666933.3175,4857502.7592,1478,69,Eastbound @ 495 Water,,1,0, , , ,-78.923049,43.85174,69,On Demand
670231.7492,4866699.8618,1479,691,Simcoe Northbound @ Taunton (North side stop),,1,0, , , ,-78.879102,43.933738,691,Scheduled
670104.3567,4867047.3561,1480,693,Simcoe Northbound @ Glovers,,1,1, , , ,-78.880577,43.936894,693,Scheduled
669682.7083,4867476.8884,1481,695,Simcoe Northbound @ Selleck,,1,0, , , ,-78.88569,43.940856,695,Scheduled
669285.4789,4867844.196,1482,697,Simcoe Northbound @ Taylorwood,,1,0, , , ,-78.890519,43.9442523,697,Scheduled
668887.1098,4867766.0841,1483,698,Ontario Tech / Durham College North Campus,,1,0, , , ,-78.895505,43.943641,698,Scheduled
665838.9205,4861663.4588,1484,7,Garden Northbound @ Martinet,,1,0, , , ,-78.935364,43.889424,7,On Demand
668642.3574,4868783.9068,1485,705,Simcoe Northbound @ Northern Dancer,,0,0, , , ,-78.89823,43.952855,705,Scheduled
669395.3701,4867717.1461,1486,706,Simcoe Southbound @ Niagara (North stop),,1,1, , , ,-78.889191,43.9430838,706,Scheduled
669639.4039,4867488.6672,1487,707,Simcoe Southbound @ Niagara (South stop),,1,1, , , ,-78.886225,43.9409719,707,Scheduled
670145.9901,4866892.9366,1488,710,Simcoe Southbound @ Cayuga,,1,1, , , ,-78.880108,43.935495,710,Scheduled
670243.9887,4866548.023,1489,711,Simcoe Southbound @ Taunton,,1,1, , , ,-78.878998,43.932369,711,Scheduled
670369.3332,4866203.2556,1490,713,Simcoe Southbound @ Orchard View,,1,0, , , ,-78.877548,43.929238,713,Scheduled
670478.9945,4865890.3192,1491,714,Simcoe Southbound @ Beatrice,,1,0, , , ,-78.876283,43.926397,714,Scheduled
670686.4288,4865312.2694,1492,716,Simcoe Southbound @ Switzer,,1,0, , , ,-78.873886,43.921148,716,Scheduled
670993.8248,4863233.0387,1493,719,Adelaide Eastbound @ Kaiser,,1,0, , , ,-78.870727,43.902369,719,Future service
667037.9431,4858110.8696,1494,72,Northbound @ 201 South Blair,,1,0, , , ,-78.921558,43.857188,72,On Demand
671295.1416,4863337.1751,1495,720,Adelaide Eastbound @ Simcoe,,1,0, , , ,-78.866944,43.903236,720,Future service
671509.5341,4863492.8705,1496,721,Adelaide Eastbound @ Kendal,,1,0, , , ,-78.864226,43.904587,721,Future service
